----------------------------------------------------------------------------------
Inicio
2019-04-29 2:45:42 PM
 TOTAL DE REGISTROS 596
workzone ZIPCODE|ESTADO|PAIS|WORK_ZONE_NAME|Label|
workzone 21009|active|CR|ALAJUELA, SAN CARLOS, C.P. 21009|CR21009|
workzone 60112|active|CR|PUNTARENAS, PUNTARENAS, C.P. 60112|CR60112|
workzone 21010|active|CR|ALAJUELA, SAN CARLOS, C.P. 21010|CR21010|
workzone 60113|active|CR|PUNTARENAS, PUNTARENAS, C.P. 60113|CR60113|
workzone 10101|active|CR|SAN JOSE, SAN JOSE, C.P. 10101|CR10101|
workzone 10102|active|CR|SAN JOSE, SAN JOSE, C.P. 10102|CR10102|
workzone 21011|active|CR|ALAJUELA, SAN CARLOS, C.P. 21011|CR21011|
workzone 10103|active|CR|SAN JOSE, SAN JOSE, C.P. 10103|CR10103|
workzone 60114|active|CR|PUNTARENAS, PUNTARENAS, C.P. 60114|CR60114|
workzone 10104|active|CR|SAN JOSE, SAN JOSE, C.P. 10104|CR10104|
workzone 21012|active|CR|ALAJUELA, SAN CARLOS, C.P. 21012|CR21012|
workzone 10105|active|CR|SAN JOSE, SAN JOSE, C.P. 10105|CR10105|
workzone 60115|active|CR|PUNTARENAS, PUNTARENAS, C.P. 60115|CR60115|
workzone 10106|active|CR|SAN JOSE, SAN JOSE, C.P. 10106|CR10106|
workzone 21013|active|CR|ALAJUELA, SAN CARLOS, C.P. 21013|CR21013|
workzone 10107|active|CR|SAN JOSE, SAN JOSE, C.P. 10107|CR10107|
workzone 60116|active|CR|PUNTARENAS, PUNTARENAS, C.P. 60116|CR60116|
workzone 10108|active|CR|SAN JOSE, SAN JOSE, C.P. 10108|CR10108|
workzone 21101|active|CR|ALAJUELA, ALFARO RUIZ, C.P. 21101|CR21101|
workzone 10109|active|CR|SAN JOSE, SAN JOSE, C.P. 10109|CR10109|
workzone 60201|active|CR|PUNTARENAS, ESPARZA, C.P. 60201|CR60201|
workzone 10110|active|CR|SAN JOSE, SAN JOSE, C.P. 10110|CR10110|
workzone 21102|active|CR|ALAJUELA, ALFARO RUIZ, C.P. 21102|CR21102|
workzone 10111|active|CR|SAN JOSE, SAN JOSE, C.P. 10111|CR10111|
workzone 60202|active|CR|PUNTARENAS, ESPARZA, C.P. 60202|CR60202|
workzone 10201|active|CR|SAN JOSE, ESCAZU, C.P. 10201|CR10201|
workzone 21103|active|CR|ALAJUELA, ALFARO RUIZ, C.P. 21103|CR21103|
workzone 10202|active|CR|SAN JOSE, ESCAZU, C.P. 10202|CR10202|
workzone 60203|active|CR|PUNTARENAS, ESPARZA, C.P. 60203|CR60203|
workzone 10203|active|CR|SAN JOSE, ESCAZU, C.P. 10203|CR10203|
workzone 21104|active|CR|ALAJUELA, ALFARO RUIZ, C.P. 21104|CR21104|
workzone 10301|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10301|CR10301|
workzone 60204|active|CR|PUNTARENAS, ESPARZA, C.P. 60204|CR60204|
workzone 10302|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10302|CR10302|
workzone 21105|active|CR|ALAJUELA, ALFARO RUIZ, C.P. 21105|CR21105|
workzone 10303|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10303|CR10303|
workzone 60205|active|CR|PUNTARENAS, ESPARZA, C.P. 60205|CR60205|
workzone 10304|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10304|CR10304|
workzone 21106|active|CR|ALAJUELA, ALFARO RUIZ, C.P. 21106|CR21106|
workzone 10305|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10305|CR10305|
workzone 60301|active|CR|PUNTARENAS, BUENOS AIRES, C.P. 60301|CR60301|
workzone 10306|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10306|CR10306|
workzone 21107|active|CR|ALAJUELA, ALFARO RUIZ, C.P. 21107|CR21107|
workzone 10307|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10307|CR10307|
workzone 60302|active|CR|PUNTARENAS, BUENOS AIRES, C.P. 60302|CR60302|
workzone 10308|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10308|CR10308|
workzone 21201|active|CR|ALAJUELA, VALVERDE VEGA, C.P. 21201|CR21201|
workzone 10309|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10309|CR10309|
workzone 60303|active|CR|PUNTARENAS, BUENOS AIRES, C.P. 60303|CR60303|
workzone 10310|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10310|CR10310|
workzone 21202|active|CR|ALAJUELA, VALVERDE VEGA, C.P. 21202|CR21202|
workzone 10311|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10311|CR10311|
workzone 60304|active|CR|PUNTARENAS, BUENOS AIRES, C.P. 60304|CR60304|
workzone 10312|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10312|CR10312|
workzone 21203|active|CR|ALAJUELA, VALVERDE VEGA, C.P. 21203|CR21203|
workzone 10313|active|CR|SAN JOSE, DESAMPARADOS, C.P. 10313|CR10313|
workzone 60305|active|CR|PUNTARENAS, BUENOS AIRES, C.P. 60305|CR60305|
