----------------------------------------------------------------------------------
Inicio
2019-04-30 12:21:29 PM
 TOTAL DE REGISTROS 345
workzone ZIPCODE|ESTADO|PAIS|WORK_ZONE_NAME|LABEL|
workzone 200101|active|DO|LA ALTAGRACIA,BAVARO, C.P.200101|DO200101|
workzone 20403|active|DO|LA ALTAGRACIA,BAVARO, C.P.20403|DO20403|
workzone 10101|active|DO|LA ALTAGRACIA,BAVARO, C.P.10101|DO10101|
workzone 110101|active|DO|LA ALTAGRACIA,BAVARO, C.P.110101|DO110101|
workzone 320703|active|DO|SANTO DOMINGO, LA CUABA, C.P. 320703|DO320703|
workzone 320702|active|DO|SANTO DOMINGO, LA GUAYIGA, C.P. 320702|DO320702|
workzone 320701|active|DO|SANTO DOMINGO, PEDRO BRAND, C.P. 320701|DO320701|
workzone 320603|active|DO|SANTO DOMINGO, PANTOJA, C.P. 320603|DO320603|
workzone 320602|active|DO|SANTO DOMINGO, LOS ALCARRIZOS, C.P. 320602|DO320602|
workzone 320601|active|DO|SANTO DOMINGO, LOS ALCARRIZOS, C.P. 320601|DO320601|
workzone 320502|active|DO|SANTO DOMINGO, HATO VIEJO, C.P. 320502|DO320502|
workzone 320501|active|DO|SANTO DOMINGO, SAN ANTONIO DE GUERRA, C.P. 320501|DO320501|
workzone 320402|active|DO|SANTO DOMINGO, LA CALETA, C.P. 320402|DO320402|
workzone 320401|active|DO|SANTO DOMINGO, BOCA CHICA, C.P. 320401|DO320401|
workzone 320302|active|DO|SANTO DOMINGO, LA VICTORIA, C.P. 320302|DO320302|
workzone 320301|active|DO|SANTO DOMINGO, SANTO DOMINGO NORTE, C.P. 320301|DO320301|
workzone 320201|active|DO|SANTO DOMINGO, SANTO DOMINGO OESTE, C.P. 320201|DO320201|
workzone 320102|active|DO|SANTO DOMINGO, SAN LUIS, C.P. 320102|DO320102|
workzone 320101|active|DO|SANTO DOMINGO, SANTO DOMINGO ESTE, C.P. 320101|DO320101|
workzone 310301|active|DO|SAN JOSE DE OCOA, RANCHO ARRIBA, C.P. 310301|DO310301|
workzone 310201|active|DO|SAN JOSE DE OCOA, SABANA LARGA, C.P. 310201|DO310201|
workzone 310104|active|DO|SAN JOSE DE OCOA, EL PINAR, C.P. 310104|DO310104|
workzone 310103|active|DO|SAN JOSE DE OCOA, NIZAO - LAS AUYAMAS, C.P. 310103|DO310103|
workzone 310102|active|DO|SAN JOSE DE OCOA, LA CIENAGA, C.P. 310102|DO310102|
workzone 310101|active|DO|SAN JOSE DE OCOA, SAN JOSE DE OCOA, C.P. 310101|DO310101|
workzone 300301|active|DO|HATO MAYOR, EL VALLE, C.P. 300301|DO300301|
workzone 300202|active|DO|HATO MAYOR, ELUPINA CORDERO DE LAS CAÑITAS, C.P. 300202|DO300202|
workzone 300201|active|DO|HATO MAYOR, SABANA DE LA MAR, C.P. 300201|DO300201|
workzone 300104|active|DO|HATO MAYOR, GUAYABO DULCE, C.P. 300104|DO300104|
workzone 300103|active|DO|HATO MAYOR, MATA PALACIO, C.P. 300103|DO300103|
workzone 300102|active|DO|HATO MAYOR, YERBA BUENA, C.P. 300102|DO300102|
workzone 300101|active|DO|HATO MAYOR, HATO MAYOR, C.P. 300101|DO300101|
workzone 290501|active|DO|MONTE PLATA, PERALVILLO, C.P. 290501|DO290501|
workzone 290402|active|DO|MONTE PLATA, LOS BOTADOS, C.P. 290402|DO290402|
workzone 290401|active|DO|MONTE PLATA, YAMASA, C.P. 290401|DO290401|
workzone 290303|active|DO|MONTE PLATA, MAJAGUAL, C.P. 290303|DO290303|
workzone 290302|active|DO|MONTE PLATA, GONZALO, C.P. 290302|DO290302|
workzone 290301|active|DO|MONTE PLATA, SABANA GRANDE DE BOYA, C.P. 290301|DO290301|
workzone 290201|active|DO|MONTE PLATA, BAYAGUANA, C.P. 290201|DO290201|
workzone 290104|active|DO|MONTE PLATA, BOYA, C.P. 290104|DO290104|
workzone 290103|active|DO|MONTE PLATA, CHIRINO, C.P. 290103|DO290103|
workzone 290102|active|DO|MONTE PLATA, DON JUAN, C.P. 290102|DO290102|
workzone 290101|active|DO|MONTE PLATA, MONTE PLATA, C.P. 290101|DO290101|
workzone 280303|active|DO|MONSEÑOR NOUEL, JUAN ADRIAN, C.P. 280303|DO280303|
workzone 280302|active|DO|MONSEÑOR NOUEL, VILLA DE SONADOR, C.P. 280302|DO280302|
workzone 280301|active|DO|MONSEÑOR NOUEL, PIEDRA BLANCA, C.P. 280301|DO280301|
workzone 280201|active|DO|MONSEÑOR NOUEL, MAIMON, C.P. 280201|DO280201|
workzone 280103|active|DO|MONSEÑOR NOUEL, JUMA BEJUCAL, C.P. 280103|DO280103|
workzone 280102|active|DO|MONSEÑOR NOUEL, SABANA DEL PUERTO (D.M), C.P. 280102|DO280102|
workzone 280101|active|DO|MONSEÑOR NOUEL, BONAO, C.P. 280101|DO280101|
workzone 270304|active|DO|VALVERDE, LAGUNA SALADA, C.P. 270304|DO270304|
workzone 270303|active|DO|VALVERDE, LAGUNA SALADA, C.P. 270303|DO270303|
workzone 270302|active|DO|VALVERDE, LAGUNA SALADA, C.P. 270302|DO270302|
workzone 270301|active|DO|VALVERDE, LAGUNA SALADA, C.P. 270301|DO270301|
workzone 270204|active|DO|VALVERDE, ESPERANZA, C.P. 270204|DO270204|
workzone 270203|active|DO|VALVERDE, ESPERANZA, C.P. 270203|DO270203|
workzone 270202|active|DO|VALVERDE, ESPERANZA, C.P. 270202|DO270202|
workzone 270201|active|DO|VALVERDE, ESPERANZA, C.P. 270201|DO270201|
workzone 270104|active|DO|VALVERDE, MAO, C.P. 270104|DO270104|
workzone 270103|active|DO|VALVERDE, MAO, C.P. 270103|DO270103|
workzone 270102|active|DO|VALVERDE, MAO, C.P. 270102|DO270102|
workzone 270101|active|DO|VALVERDE, MAO, C.P. 270101|DO270101|
workzone 260301|active|DO|SANTIAGO RODRIGUEZ, MONCION, C.P. 260301|DO260301|
workzone 260201|active|DO|SANTIAGO RODRIGUEZ, VILLA LOS ALMACIGOS, C.P. 260201|DO260201|
workzone 260101|active|DO|SANTIAGO RODRIGUEZ, SAN IGNACIO DE SABANETA, C.P. 260101|DO260101|
workzone 250703|active|DO|SANTIAGO, EL LIMON, C.P. 250703|DO250703|
workzone 250702|active|DO|SANTIAGO, PALMAR ARRIBA, C.P. 250702|DO250702|
workzone 250701|active|DO|SANTIAGO, VILLA GONZALEZ, C.P. 250701|DO250701|
workzone 250601|active|DO|SANTIAGO, TAMBORIL, C.P. 250601|DO250601|
workzone 250504|active|DO|SANTIAGO, LAS PLACETAS, C.P. 250504|DO250504|
workzone 250503|active|DO|SANTIAGO, LA CUESTA, C.P. 250503|DO250503|
workzone 250502|active|DO|SANTIAGO, EL RUBIO, C.P. 250502|DO250502|
workzone 250501|active|DO|SANTIAGO, SAN JOSE DE LAS MATAS, C.P. 250501|DO250501|
workzone 250402|active|DO|SANTIAGO, LAS PALOMAS, C.P. 250402|DO250402|
workzone 250401|active|DO|SANTIAGO, LICEY AL MEDIO, C.P. 250401|DO250401|
workzone 250303|active|DO|SANTIAGO, EL CAIMITO, C.P. 250303|DO250303|
workzone 250302|active|DO|SANTIAGO, JUNCALITO, C.P. 250302|DO250302|
workzone 250301|active|DO|SANTIAGO, JANICO, C.P. 250301|DO250301|
workzone 250201|active|DO|SANTIAGO, BISONO, C.P. 250201|DO250201|
workzone 250107|active|DO|SANTIAGO, HATO DEL YAQUE, C.P. 250107|DO250107|
workzone 250106|active|DO|SANTIAGO, SAN FRANCISCO DE JACAGUA, C.P. 250106|DO250106|
workzone 250105|active|DO|SANTIAGO, LA CANELA, C.P. 250105|DO250105|
workzone 250104|active|DO|SANTIAGO, BAITOA, C.P. 250104|DO250104|
workzone 250103|active|DO|SANTIAGO, SABANA IGLESIA, C.P. 250103|DO250103|
workzone 250102|active|DO|SANTIAGO, PEDRO GARCIA, C.P. 250102|DO250102|
workzone 250101|active|DO|SANTIAGO, SANTIAGO DE LOS CABALLEROS, C.P. 250101|DO250101|
workzone 240403|active|DO|SANCHEZ RAMIREZ, ANGELINA, C.P. 240403|DO240403|
workzone 240402|active|DO|SANCHEZ RAMIREZ, LA BIJA, C.P. 240402|DO240402|
workzone 240401|active|DO|SANCHEZ RAMIREZ, LA MATA, C.P. 240401|DO240401|
workzone 240301|active|DO|SANCHEZ RAMIREZ, FANTINO, C.P. 240301|DO240301|
workzone 240203|active|DO|SANCHEZ RAMIREZ, PLATANAL, C.P. 240203|DO240203|
workzone 240202|active|DO|SANCHEZ RAMIREZ, LA CUEVA, C.P. 240202|DO240202|
workzone 240201|active|DO|SANCHEZ RAMIREZ, CEVICOS, C.P. 240201|DO240201|
workzone 240102|active|DO|SANCHEZ RAMIREZ, COTUI, C.P. 240102|DO240102|
workzone 240101|active|DO|SANCHEZ RAMIREZ, COTUI, C.P. 240101|DO240101|
workzone 230501|active|DO|SAN PEDRO DE MACORIS, QUISQUEYA, C.P. 230501|DO230501|
workzone 230401|active|DO|SAN PEDRO DE MACORIS, CONSUELO, C.P. 230401|DO230401|
workzone 230301|active|DO|SAN PEDRO DE MACORIS, RAMON SANTANA, C.P. 230301|DO230301|
workzone 230203|active|DO|SAN PEDRO DE MACORIS, GAUTIER, C.P. 230203|DO230203|
workzone 230202|active|DO|SAN PEDRO DE MACORIS, ZONA URBANA, C.P. 230202|DO230202|
workzone 230201|active|DO|SAN PEDRO DE MACORIS, LOS LLANOS, C.P. 230201|DO230201|
workzone 230101|active|DO|SAN PEDRO DE MACORIS, SAN PEDRO DE MACORIS, C.P. 230101|DO230101|
workzone 220601|active|DO|SAN JUAN, VALLEJUELO, C.P. 220601|DO220601|
workzone 220503|active|DO|SAN JUAN, CARRERA DE YEGUAS, C.P. 220503|DO220503|
workzone 220502|active|DO|SAN JUAN, MATAYAYA, C.P. 220502|DO220502|
workzone 220501|active|DO|SAN JUAN, LAS MATAS DE FARFAN, C.P. 220501|DO220501|
workzone 220401|active|DO|SAN JUAN, JUAN DE HERRERA, C.P. 220401|DO220401|
workzone 220303|active|DO|SAN JUAN, BATISTA, C.P. 220303|DO220303|
workzone 220302|active|DO|SAN JUAN, DERRUMBADERO, C.P. 220302|DO220302|
workzone 220301|active|DO|SAN JUAN, EL CERCADO, C.P. 220301|DO220301|
workzone 220203|active|DO|SAN JUAN, YAQUE (D. M.), C.P. 220203|DO220203|
workzone 220202|active|DO|SAN JUAN, ARROYO CANO, C.P. 220202|DO220202|
workzone 220201|active|DO|SAN JUAN, BOHECHIO, C.P. 220201|DO220201|
workzone 220108|active|DO|SAN JUAN, LA JAGUA, C.P. 220108|DO220108|
workzone 220107|active|DO|SAN JUAN, GUANITO, C.P. 220107|DO220107|
workzone 220106|active|DO|SAN JUAN, HATO DEL PADRE, C.P. 220106|DO220106|
workzone 220105|active|DO|SAN JUAN, EL ROSARIO, C.P. 220105|DO220105|
workzone 220104|active|DO|SAN JUAN, SABANA ALTA (D. M.), C.P. 220104|DO220104|
workzone 220103|active|DO|SAN JUAN, SABANETA (D. M.), C.P. 220103|DO220103|
workzone 220102|active|DO|SAN JUAN, PEDRO CORTO, C.P. 220102|DO220102|
workzone 220101|active|DO|SAN JUAN, SAN JUAN DE LA MAGUANA, C.P. 220101|DO220101|
workzone 210801|active|DO|SAN CRISTOBAL, LOS CACAOS, C.P. 210801|DO210801|
workzone 210701|active|DO|SAN CRISTOBAL, SAN GREGORIO DE NIGUA, C.P. 210701|DO210701|
workzone 210601|active|DO|SAN CRISTOBAL, YAGUATE, C.P. 210601|DO210601|
workzone 210504|active|DO|SAN CRISTOBAL, LA CUCHILLA, C.P. 210504|DO210504|
workzone 210503|active|DO|SAN CRISTOBAL, MEDINA, C.P. 210503|DO210503|
workzone 210502|active|DO|SAN CRISTOBAL, SAN JOSE DEL PUERTO, C.P. 210502|DO210502|
workzone 210501|active|DO|SAN CRISTOBAL, VILLA ALTAGRACIA, C.P. 210501|DO210501|
workzone 210402|active|DO|SAN CRISTOBAL, CAMBITA EL PUEBLECITO, C.P. 210402|DO210402|
