WORK_ZONE_NAME;ZIPCODE;PAIS;ESTADO;Label
SAN JOSE, SAN JOSE, C.P. 10101;10101;CR;active;CR10101
SAN JOSE, SAN JOSE, C.P. 10102;10102;CR;active;CR10102
SAN JOSE, SAN JOSE, C.P. 10103;10103;CR;active;CR10103
SAN JOSE, SAN JOSE, C.P. 10104;10104;CR;active;CR10104
SAN JOSE, SAN JOSE, C.P. 10105;10105;CR;active;CR10105
SAN JOSE, SAN JOSE, C.P. 10106;10106;CR;active;CR10106
SAN JOSE, SAN JOSE, C.P. 10107;10107;CR;active;CR10107
SAN JOSE, SAN JOSE, C.P. 10108;10108;CR;active;CR10108
SAN JOSE, SAN JOSE, C.P. 10109;10109;CR;active;CR10109
SAN JOSE, SAN JOSE, C.P. 10110;10110;CR;active;CR10110
SAN JOSE, SAN JOSE, C.P. 10111;10111;CR;active;CR10111
SAN JOSE, ESCAZU, C.P. 10201;10201;CR;active;CR10201
SAN JOSE, ESCAZU, C.P. 10202;10202;CR;active;CR10202
SAN JOSE, ESCAZU, C.P. 10203;10203;CR;active;CR10203
SAN JOSE, DESAMPARADOS, C.P. 10301;10301;CR;active;CR10301
SAN JOSE, DESAMPARADOS, C.P. 10302;10302;CR;active;CR10302
SAN JOSE, DESAMPARADOS, C.P. 10303;10303;CR;active;CR10303
SAN JOSE, DESAMPARADOS, C.P. 10304;10304;CR;active;CR10304
SAN JOSE, DESAMPARADOS, C.P. 10305;10305;CR;active;CR10305
SAN JOSE, DESAMPARADOS, C.P. 10306;10306;CR;active;CR10306
SAN JOSE, DESAMPARADOS, C.P. 10307;10307;CR;active;CR10307
SAN JOSE, DESAMPARADOS, C.P. 10308;10308;CR;active;CR10308
SAN JOSE, DESAMPARADOS, C.P. 10309;10309;CR;active;CR10309
SAN JOSE, DESAMPARADOS, C.P. 10310;10310;CR;active;CR10310
SAN JOSE, DESAMPARADOS, C.P. 10311;10311;CR;active;CR10311
